system_id,system_name,asset_type,business_service_id,business_service_name,business_unit,vendor,product,product_family,version,environment,hosting_model,region,owner_team,criticality,internet_exposed,data_sensitivity,lifecycle_stage,support_status,security_risk,technical_debt,regulatory_exposure,annual_run_cost_eur,install_date,last_change_date,cmdb_confidence,duplicate_group_id,source_system
SYS0000001,INF-COGNOS-00001,Application,BS000427,Enterprise Warehouse Service 0427,Infrastructure,IBM,Cognos Analytics,Analytics,11.2,Production,On-Prem,APAC,Infrastructure Platform Team,Medium,False,Restricted,Migrate,Supported,High,Medium,Low,244277.63,2017-10-04,2023-01-20,0.789,,Archer
SYS0000002,INS-VCENTER-00002,Platform,BS000414,Regional Procurement Service 0414,Insurance,VMware,vCenter,Virtualisation,6.7,Production,Private Cloud,US,Insurance Platform Team,Medium,False,Internal,Migrate,Supported,Medium,Medium,Medium,153064.62,2010-02-05,2024-10-21,0.875,,Excel Upload
SYS0000003,INF-ORACLE-00003,Database,BS000560,Enterprise Ledger Service 0560,Infrastructure,Oracle,Oracle Database,Database,21c,Pre-Production,Private Cloud,EU,Infrastructure Platform Team,High,False,Confidential,Migrate,Supported,Critical,Low,Critical,272712.41,2014-02-16,2023-11-24,0.938,DUP000028,Excel Upload
SYS0000004,LEG-HANA-00004,Database,BS000470,Customer Pricing Service 0470,Legal,SAP,HANA,Database,2.0 SPS05,Production,Hybrid,APAC,Legal Platform Team,High,False,Internal,Strategic,Supported,Medium,Severe,Low,196749.53,2024-05-19,2024-07-17,0.819,,ServiceNow
SYS0000005,INF-MQ-00005,Middleware,BS000101,Regulated Risk Service 0101,Infrastructure,IBM,MQ,Integration,9.3,Test,Private Cloud,US,Infrastructure Platform Team,Medium,False,Internal,Migrate,Unsupported,Low,Medium,Medium,179222.38,2024-05-22,2023-04-23,0.826,,ServiceNow
SYS0000006,INF-ECC-00006,ERP Module,BS000334,Digital Compliance Service 0334,Infrastructure,SAP,ECC,ERP,6.0,Pre-Production,On-Prem,US,Infrastructure Platform Team,Medium,False,Internal,Migrate,Supported,Medium,High,High,105313.8,2020-08-17,2023-01-13,0.508,,ServiceNow
SYS0000007,HR-BUSINESSOBJECTS-00007,Application,BS000496,Critical Claims Service 0496,HR,SAP,BusinessObjects,Analytics,4.2,Pre-Production,On-Prem,EU,HR Platform Team,Low,False,Internal,Strategic,Supported,High,Severe,Low,132827.67,2013-10-06,2025-02-14,0.857,,Excel Upload
SYS0000008,CUS-TIVOLI-00008,Application,BS000193,Customer Customer Service 0193,Customer Operations,IBM,Tivoli / Spectrum Protect,Operations,8.1,Production,On-Prem,UK,Customer Operations Platform Team,Medium,True,Internal,Migrate,Unsupported,Medium,High,Medium,130553.52,2013-10-14,2023-03-08,0.794,,BMC
SYS0000009,SUP-ORACLE-00009,Database,BS000622,Core Ledger Service 0622,Supply Chain,Oracle,Oracle Database,Database,11g,Production,Public Cloud,UK,Supply Chain Platform Team,Critical,False,Confidential,Tolerate,Supported,Low,Medium,Medium,201574.16,2018-02-28,2023-04-20,0.477,,EA Repository
SYS0000010,LEG-DB2-00010,Database,BS000348,Regulated Treasury Service 0348,Legal,IBM,Db2,Database,11.1,Production,On-Prem,EU,Legal Platform Team,Low,True,Restricted,Retire,Extended Support,Low,Medium,Medium,54975.67,2012-10-09,2023-11-10,0.91,,Archer
SYS0000011,INF-VSPHERE-00011,Platform,BS000232,Critical Workforce Service 0232,Infrastructure,VMware,vSphere,Virtualisation,6.7,Test,Hybrid,US,Infrastructure Platform Team,Medium,False,Internal,Tolerate,Unsupported,Low,High,Medium,174788.61,2009-05-06,2024-09-30,0.835,,Archer
