application_id,system_id,application_name,application_category,architecture_pattern,primary_language,deployment_model,user_count,transaction_volume_daily,revenue_dependency_eur,business_owner,technical_owner,release_frequency,documentation_quality
APP0000001,SYS0000001,INF-COGNOS-00001 App,Workflow,Event-driven,Java,VM,4617,21091,6322180.85,Business Owner - Infrastructure,Infrastructure Platform Team,Quarterly,0.306
APP0000002,SYS0000006,INF-ECC-00006 App,Batch,Batch,JavaScript,VM,1528,4036,14022629.78,Business Owner - Infrastructure,Infrastructure Platform Team,Monthly,0.228
APP0000003,SYS0000007,HR-BUSINESSOBJECTS-00007 App,AI-Native,3-tier,Java,Hybrid,657,4122,10014753.03,Business Owner - HR,HR Platform Team,Semi-Annual,0.641
APP0000004,SYS0000008,CUS-TIVOLI-00008 App,Customer Portal,3-tier,Python,Hybrid,457,2748,6501726.29,Business Owner - Customer Operations,Customer Operations Platform Team,Quarterly,0.518
APP0000005,SYS0000015,SUP-CA-00015 App,Data Platform,3-tier,Java,VM,6937,31529,66484921.2,Business Owner - Supply Chain,Supply Chain Platform Team,Weekly,0.582
APP0000006,SYS0000017,FIN-AI-NATIVE-00017 App,ERP Module,Monolith,C#,VM,794,1294,13069734.0,Business Owner - Finance,Finance Platform Team,Semi-Annual,0.851
APP0000007,SYS0000020,M&A-AI-NATIVE-00020 App,Data Platform,SOA,Java,Mainframe,4456,35148,12571308.72,Business Owner - M&A Office,M&A Office Platform Team,Monthly,0.34
APP0000008,SYS0000026,COM-FILENET-00026 App,Workflow,Batch,ABAP,Kubernetes,185,59199,18830846.46,Business Owner - Commercial Banking,Commercial Banking Platform Team,Semi-Annual,0.729
APP0000009,SYS0000027,SUP-FILENET-00027 App,Customer Portal,3-tier,Mixed,Bare Metal,478,2505,51511866.83,Business Owner - Supply Chain,Supply Chain Platform Team,Monthly,0.396
APP0000010,SYS0000032,MAN-ECC-00032 App,Risk Engine,Mainframe-linked,PL/SQL,Bare Metal,1277,12522,3277428.5,Business Owner - Manufacturing,Manufacturing Platform Team,Monthly,0.446
APP0000011,SYS0000036,MAN-COGNOS-00036 App,AI-Native,SOA,Python,Bare Metal,855,68547,2797744.24,Business Owner - Manufacturing,Manufacturing Platform Team,Quarterly,0.65
APP0000012,SYS0000039,M&A-S4HANA-00039 App,AI-Native,Event-driven,C#,VM,14432,3408,3561643.43,Business Owner - M&A Office,M&A Office Platform Team,Weekly,0.677
APP0000013,SYS0000040,WEA-AI-NATIVE-00040 App,Batch,Event-driven,Mixed,Bare Metal,1947,967,22505761.23,Business Owner - Wealth,Wealth Platform Team,Quarterly,0.59
APP0000014,SYS0000041,SUP-BUSINESSOBJECTS-00041 App,Workflow,AI-agentic workflow,Python,VM,2181,3247,39760555.41,Business Owner - Supply Chain,Supply Chain Platform Team,Ad-hoc,0.268
APP0000015,SYS0000042,INS-CA-00042 App,Batch,Event-driven,Mixed,Managed PaaS,3725,51025,17796167.33,Business Owner - Insurance,Insurance Platform Team,Semi-Annual,0.844
APP0000016,SYS0000045,MAN-AI-NATIVE-00045 App,Core Processing,Monolith,Java,VM,147,12802,6187438.6,Business Owner - Manufacturing,Manufacturing Platform Team,Semi-Annual,0.622
APP0000017,SYS0000048,HR-AI-NATIVE-00048 App,Data Platform,Microservices,Python,Managed PaaS,4599,1936,5801445.42,Business Owner - HR,HR Platform Team,Weekly,0.938
APP0000018,SYS0000050,INS-ECC-00050 App,API Service,Monolith,Java,Bare Metal,1717,58610,4118243.51,Business Owner - Insurance,Insurance Platform Team,Semi-Annual,0.757
APP0000019,SYS0000051,INS-TIVOLI-00051 App,ERP Module,3-tier,ABAP,Bare Metal,1367,64821,8589982.91,Business Owner - Insurance,Insurance Platform Team,Quarterly,0.319
APP0000020,SYS0000054,INS-FILENET-00054 App,Customer Portal,SOA,JavaScript,VM,355,50290,66206206.03,Business Owner - Insurance,Insurance Platform Team,Quarterly,0.505
APP0000021,SYS0000059,PAY-ECC-00059 App,Workflow,Microservices,COBOL,VM,42,678,1566217.94,Business Owner - Payments,Payments Platform Team,Quarterly,0.938
APP0000022,SYS0000062,RET-ECC-00062 App,API Service,3-tier,ABAP,VM,774,1278,92757970.78,Business Owner - Retail Banking,Retail Banking Platform Team,Weekly,0.807
APP0000023,SYS0000064,COM-TIVOLI-00064 App,Risk Engine,3-tier,ABAP,VM,332,25364,866560.59,Business Owner - Commercial Banking,Commercial Banking Platform Team,Semi-Annual,0.301
APP0000024,SYS0000068,FIN-AI-NATIVE-00068 App,Workflow,SOA,C#,Mainframe,3592,9420,4871971.68,Business Owner - Finance,Finance Platform Team,Monthly,0.57
APP0000025,SYS0000070,WEA-LEGACY-00070 App,Workflow,Monolith,JavaScript,Kubernetes,8579,10854,4337190.79,Business Owner - Wealth,Wealth Platform Team,Semi-Annual,0.356
APP0000026,SYS0000076,SUP-S4HANA-00076 App,AI-Native,Mainframe-linked,Java,VM,2476,4211,32988042.58,Business Owner - Supply Chain,Supply Chain Platform Team,Monthly,0.453
APP0000027,SYS0000078,COM-TIVOLI-00078 App,Reporting,Batch,Python,Hybrid,932,3734,6651869.55,Business Owner - Commercial Banking,Commercial Banking Platform Team,Quarterly,0.637
APP0000028,SYS0000079,HR-LEGACY-00079 App,Customer Portal,Microservices,JavaScript,VM,7486,32458,3002247.16,Business Owner - HR,HR Platform Team,Semi-Annual,0.45
APP0000029,SYS0000081,CUS-COGNOS-00081 App,Batch,Event-driven,Java,Managed PaaS,345,7978,515426.24,Business Owner - Customer Operations,Customer Operations Platform Team,Weekly,0.743
APP0000030,SYS0000082,SUP-COGNOS-00082 App,Batch,3-tier,Java,VM,2211,22502,18197241.63,Business Owner - Supply Chain,Supply Chain Platform Team,Ad-hoc,0.22
APP0000031,SYS0000083,RIS-S4HANA-00083 App,Risk Engine,AI-agentic workflow,ABAP,Hybrid,1280,15331,71035919.12,Business Owner - Risk,Risk Platform Team,Monthly,0.76
APP0000032,SYS0000086,DAT-ECC-00086 App,Reporting,SOA,Java,Kubernetes,3204,5737,5187969.13,Business Owner - Data & Analytics,Data & Analytics Platform Team,Weekly,0.573
APP0000033,SYS0000087,SEC-FILENET-00087 App,AI-Native,Microservices,C#,VM,234,257411,14544168.29,Business Owner - Security,Security Platform Team,Semi-Annual,0.846
APP0000034,SYS0000089,DIG-ECC-00089 App,Data Platform,3-tier,Python,VM,8871,1904,10013411.32,Business Owner - Digital Channels,Digital Channels Platform Team,Weekly,0.557
APP0000035,SYS0000092,RET-CA-00092 App,Risk Engine,Event-driven,Java,VM,1810,4751,24591747.25,Business Owner - Retail Banking,Retail Banking Platform Team,Monthly,0.463
APP0000036,SYS0000094,DIG-ECC-00094 App,Core Processing,3-tier,Python,Hybrid,1278,12162,4959148.84,Business Owner - Digital Channels,Digital Channels Platform Team,Monthly,0.816
APP0000037,SYS0000099,LEG-LEGACY-00099 App,AI-Native,3-tier,C#,Hybrid,221,2627,16413619.23,Business Owner - Legal,Legal Platform Team,Quarterly,0.417
APP0000038,SYS0000100,DIG-ECC-00100 App,Data Platform,Monolith,ABAP,Bare Metal,3468,10955,4259939.96,Business Owner - Digital Channels,Digital Channels Platform Team,Semi-Annual,0.572
APP0000039,SYS0000104,INF-BUSINESSOBJECTS-00104 App,Core Processing,Monolith,Java,Kubernetes,770,60431,2590285.18,Business Owner - Infrastructure,Infrastructure Platform Team,Quarterly,0.514
APP0000040,SYS0000105,FIN-BUSINESSOBJECTS-00105 App,AI-Native,AI-agentic workflow,Java,Bare Metal,4310,13007,4439713.95,Business Owner - Finance,Finance Platform Team,Semi-Annual,0.563
APP0000041,SYS0000107,COM-TIVOLI-00107 App,Reporting,Monolith,Python,Kubernetes,1076,2484,12242647.42,Business Owner - Commercial Banking,Commercial Banking Platform Team,Monthly,0.433
APP0000042,SYS0000110,INF-CA-00110 App,Risk Engine,SOA,C#,Kubernetes,1075,7940,1590892.73,Business Owner - Infrastructure,Infrastructure Platform Team,Quarterly,0.668
APP0000043,SYS0000112,DAT-COGNOS-00112 App,Workflow,SOA,Python,Mainframe,1018,9248,5264002.5,Business Owner - Data & Analytics,Data & Analytics Platform Team,Ad-hoc,0.773
APP0000044,SYS0000113,CUS-CA-00113 App,Workflow,3-tier,PL/SQL,Kubernetes,483,8441,6196121.83,Business Owner - Customer Operations,Customer Operations Platform Team,Ad-hoc,0.374
APP0000045,SYS0000115,DAT-AI-NATIVE-00115 App,Customer Portal,3-tier,ABAP,Bare Metal,459,9597,3223993.4,Business Owner - Data & Analytics,Data & Analytics Platform Team,Quarterly,0.467
APP0000046,SYS0000127,CUS-ECC-00127 App,Risk Engine,3-tier,JavaScript,VM,275,15316,4145595.66,Business Owner - Customer Operations,Customer Operations Platform Team,Ad-hoc,0.275
APP0000047,SYS0000128,HR-TIVOLI-00128 App,AI-Native,Mainframe-linked,PL/SQL,Kubernetes,4154,220746,22450054.93,Business Owner - HR,HR Platform Team,Monthly,0.52
APP0000048,SYS0000129,COM-ECC-00129 App,Risk Engine,Microservices,Mixed,Mainframe,2451,18717,90820432.72,Business Owner - Commercial Banking,Commercial Banking Platform Team,Monthly,0.402
APP0000049,SYS0000136,RET-FILENET-00136 App,Batch,Microservices,C#,VM,170,41940,4179315.46,Business Owner - Retail Banking,Retail Banking Platform Team,Semi-Annual,0.587
