mapping_id,system_id,business_service_id,regulation,obligation,applicability,criticality,evidence_required,current_evidence_quality,compliance_exposure_score,audit_defensibility,jurisdiction
REG00000001,SYS0010516,BS000679,GDPR,Breach reporting,Indirect,Critical,Breach reporting evidence pack,57.0,27.7,Strong,LATAM
REG00000002,SYS0000808,BS000262,PCI-DSS,Cardholder data protection,Direct,Critical,Cardholder data protection evidence pack,63.1,23.7,Strong,UK
REG00000003,SYS0001219,BS000339,DORA,Third-party risk evidence,Indirect,High,Third-party risk evidence evidence pack,56.1,42.0,Moderate,EU
REG00000004,SYS0007460,BS000262,Operational Resilience,Scenario testing,Direct,High,Scenario testing evidence pack,72.0,27.1,Strong,APAC
REG00000005,SYS0009238,BS000681,NIS2,Cyber risk governance,Evidence Only,Critical,Cyber risk governance evidence pack,67.8,17.0,Strong,US
REG00000006,SYS0004846,BS000540,GDPR,Data protection controls,Direct,High,Data protection controls evidence pack,75.7,25.0,Strong,UK
REG00000007,SYS0004829,BS000264,NIS2,Cyber risk governance,Watch,High,Cyber risk governance evidence pack,59.3,40.1,Moderate,LATAM
REG00000008,SYS0000292,BS000681,SOX,Access attestation,Indirect,Critical,Access attestation evidence pack,55.1,28.1,Strong,EU
REG00000009,SYS0011635,BS000712,GDPR,Data protection controls,Evidence Only,Critical,Data protection controls evidence pack,95.3,24.5,Strong,Global
REG00000010,SYS0001741,BS000320,DORA,ICT risk management,Indirect,Medium,ICT risk management evidence pack,86.2,6.4,Strong,APAC
REG00000011,SYS0010480,BS000205,PCI-DSS,Segmentation evidence,Direct,Medium,Segmentation evidence evidence pack,70.0,25.1,Strong,US
REG00000012,SYS0010073,BS000310,DORA,Third-party risk evidence,Indirect,Medium,Third-party risk evidence evidence pack,72.3,22.7,Strong,EU
REG00000013,SYS0000428,BS000285,SOX,Change evidence,Direct,High,Change evidence evidence pack,42.8,29.6,Strong,EU
REG00000014,SYS0000262,BS000489,SOX,Financial reporting control,Direct,High,Financial reporting control evidence pack,42.5,42.8,Moderate,APAC
REG00000015,SYS0006248,BS000300,PCI-DSS,Vulnerability management,Indirect,High,Vulnerability management evidence pack,61.2,9.1,Strong,APAC
REG00000016,SYS0000013,BS000446,GDPR,Processor evidence,Evidence Only,Medium,Processor evidence evidence pack,45.5,34.4,Strong,UK
REG00000017,SYS0010067,BS000282,HIPAA,Business associate evidence,Direct,High,Business associate evidence evidence pack,45.6,31.3,Strong,US
REG00000018,SYS0005822,BS000023,SOX,Financial reporting control,Direct,High,Financial reporting control evidence pack,94.2,25.9,Strong,US
REG00000019,SYS0011834,BS000440,GDPR,Processor evidence,Evidence Only,High,Processor evidence evidence pack,23.0,27.1,Strong,APAC
REG00000020,SYS0003321,BS000602,Internal Audit,Policy compliance,Indirect,Medium,Policy compliance evidence pack,50.2,22.2,Strong,US
REG00000021,SYS0010941,BS000401,GDPR,Data protection controls,Indirect,Medium,Data protection controls evidence pack,72.2,6.8,Strong,Global
REG00000022,SYS0002318,BS000149,SOX,Change evidence,Indirect,Critical,Change evidence evidence pack,26.3,51.9,Moderate,APAC
REG00000023,SYS0006024,BS000188,GDPR,Breach reporting,Evidence Only,Medium,Breach reporting evidence pack,28.4,20.1,Strong,US
REG00000024,SYS0008795,BS000033,NIS2,Incident reporting,Direct,Medium,Incident reporting evidence pack,46.6,23.3,Strong,US
REG00000025,SYS0007402,BS000658,NIS2,Supply-chain security,Evidence Only,High,Supply-chain security evidence pack,36.3,49.3,Moderate,Global
REG00000026,SYS0000155,BS000707,SOX,Financial reporting control,Direct,Low,Financial reporting control evidence pack,65.1,13.7,Strong,UK
REG00000027,SYS0002728,BS000348,PCI-DSS,Segmentation evidence,Direct,Low,Segmentation evidence evidence pack,50.7,15.1,Strong,US
REG00000028,SYS0005678,BS000041,NIS2,Incident reporting,Watch,High,Incident reporting evidence pack,61.3,39.5,Moderate,UK
REG00000029,SYS0008554,BS000310,NIS2,Supply-chain security,Direct,High,Supply-chain security evidence pack,44.5,24.9,Strong,US
