business_service_id,business_service_name,business_unit,service_tier,customer_facing,annual_revenue_supported_eur,rto_hours,rpo_hours,regulatory_scope,executive_owner
BS000001,Enterprise Reporting Service 0001,Commercial Banking,Tier 3,True,11022413.55,72,24.0,HIPAA,EVP Commercial Banking
BS000002,Global Reporting Service 0002,Security,Tier 1,False,137969255.16,4,1.0,DORA,EVP Security
BS000003,Regulated Policy Service 0003,Digital Channels,Tier 1,False,66714242.13,4,1.0,SOX,EVP Digital Channels
BS000004,Digital Data Service 0004,HR,Tier 1,False,32786553.06,4,1.0,NIS2;GDPR;DORA,EVP HR
BS000005,Critical Data Service 0005,HR,Tier 2,False,10776421.29,24,8.0,GDPR;Internal Audit;PCI-DSS,EVP HR
BS000006,Shared Data Service 0006,Infrastructure,Tier 2,False,11110976.79,24,8.0,PCI-DSS;GDPR;HIPAA,EVP Infrastructure
BS000007,Critical Payments Service 0007,Commercial Banking,Tier 3,False,25661981.02,72,24.0,PCI-DSS;HIPAA;SOX,EVP Commercial Banking
BS000008,Operational Trading Service 0008,Digital Channels,Tier 2,False,34024315.23,24,8.0,SOX,EVP Digital Channels
BS000009,Core Trading Service 0009,Payments,Tier 2,True,6593670.58,24,8.0,NIS2;SOX,EVP Payments
BS000010,Enterprise Payments Service 0010,Commercial Banking,Tier 3,False,18627114.22,72,24.0,HIPAA;DORA;PCI-DSS,EVP Commercial Banking
BS000011,Regulated Settlement Service 0011,Supply Chain,Tier 3,True,1914981.41,72,24.0,GDPR,EVP Supply Chain
BS000012,Digital Trading Service 0012,M&A Office,Tier 1,False,40656603.46,4,1.0,DORA,EVP M&A Office
BS000013,Customer Warehouse Service 0013,Data & Analytics,Tier 2,False,41382314.69,24,8.0,NIS2,EVP Data & Analytics
BS000014,Operational Settlement Service 0014,Data & Analytics,Tier 2,False,13149897.35,24,8.0,DORA;HIPAA;SOX,EVP Data & Analytics
BS000015,Customer Fulfilment Service 0015,Data & Analytics,Tier 1,False,237568452.43,4,1.0,DORA,EVP Data & Analytics
BS000016,Enterprise Workforce Service 0016,Security,Tier 1,False,12218043.26,4,1.0,SOX,EVP Security
BS000017,Core Portal Service 0017,Supply Chain,Tier 3,True,22729733.17,72,24.0,GDPR;PCI-DSS,EVP Supply Chain
BS000018,Regulated Procurement Service 0018,Insurance,Tier 2,False,17202973.05,24,8.0,Operational Resilience;Internal Audit;SOX,EVP Insurance
BS000019,Shared Procurement Service 0019,Infrastructure,Tier 2,False,16025192.38,24,8.0,Internal Audit,EVP Infrastructure
BS000020,Core Reporting Service 0020,HR,Tier 3,True,15779869.69,72,24.0,Internal Audit;HIPAA,EVP HR
BS000021,Operational Compliance Service 0021,Supply Chain,Tier 2,True,20131886.98,24,8.0,Internal Audit;DORA;GDPR,EVP Supply Chain
BS000022,Regulated Procurement Service 0022,Risk,Tier 3,False,45478698.88,72,24.0,SOX;GDPR,EVP Risk
BS000023,Regulated Workforce Service 0023,Payments,Tier 3,False,81450811.81,72,24.0,Internal Audit;HIPAA;DORA,EVP Payments
BS000024,Critical Reporting Service 0024,Legal,Tier 2,False,17850190.37,24,8.0,DORA;Internal Audit;NIS2,EVP Legal
BS000025,Regulated Warehouse Service 0025,Security,Tier 2,True,43874668.29,24,8.0,DORA,EVP Security
BS000026,Global Payments Service 0026,Customer Operations,Tier 3,False,8269266.42,72,24.0,Internal Audit,EVP Customer Operations
BS000027,Enterprise Workforce Service 0027,Risk,Tier 2,True,41555938.7,24,8.0,HIPAA;SOX;PCI-DSS,EVP Risk
