signal_id,signal_date,signal_type,vendor,product,market_theme,description,severity,likelihood,time_horizon_months,mapped_system_count,estimated_cost_impact_eur,recommended_watch_action,confidence
SIG00000001,2024-08-21,Ecosystem Decline,IBM,MQ,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,3,0.357,31,414,108147950.96,Assess replacement option,0.86
SIG00000002,2024-12-22,Open Source Alternative,IBM,Db2,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,4,0.616,51,306,46738214.52,Escalate to board pack,0.894
SIG00000003,2024-03-28,Pricing Shock,VMware,vSphere,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,1,0.415,18,583,3707860.62,Prepare negotiation,0.478
SIG00000004,2024-07-23,Pricing Shock,Oracle,Oracle Database,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,3,0.726,29,326,64618455.01,Prepare negotiation,0.766
SIG00000005,2025-06-23,Talent Scarcity,Microsoft,Windows Server,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,1,0.567,45,497,6833474.52,Validate controls,0.886
SIG00000006,2026-06-27,Vendor Consolidation,Custom,Mainframe Integration Service,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",2,0.567,60,70,1518887.67,Assess replacement option,0.832
SIG00000007,2024-04-09,Regulatory Change,VMware,vCenter,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,3,0.642,6,310,824074.46,Monitor,0.532
SIG00000008,2025-04-27,Threat Trend,Oracle,Oracle Database,Threat Trend,Threat activity is increasing against related technology patterns.,2,0.653,14,242,27583594.75,Model scenario,0.599
SIG00000009,2025-11-08,AI-Native Shift,SAP,S/4HANA,AI-Native Shift,AI-native rebuild or workflow automation may become a viable substitution path.,3,0.462,52,63,268874.32,Assess replacement option,0.746
SIG00000010,2024-04-15,Open Source Alternative,IBM,FileNet,Open Source Alternative,Open-source alternatives are maturing for selected workloads.,3,0.588,34,172,16794055.67,Prepare negotiation,0.715
SIG00000011,2026-01-09,Pricing Shock,VMware,vSphere,Pricing Shock,Commercial model shift may increase support or subscription cost envelope.,5,0.773,40,148,7505696.0,Validate controls,0.693
SIG00000012,2025-04-19,Threat Trend,Custom,Mainframe Integration Service,Threat Trend,Threat activity is increasing against related technology patterns.,3,0.599,32,268,14172380.16,Model scenario,0.744
SIG00000013,2025-07-30,Vendor Consolidation,SAP,ECC,Vendor Consolidation,"Vendor consolidation may alter support model, pricing, or roadmap leverage.",5,0.343,51,275,30302921.62,Model scenario,0.745
SIG00000014,2025-01-06,Talent Scarcity,Red Hat,OpenShift,Talent Scarcity,Specialist skills are declining and supportability risk is increasing.,3,0.554,18,91,1235910.08,Assess replacement option,0.905
SIG00000015,2024-07-03,Threat Trend,VMware,vSphere,Threat Trend,Threat activity is increasing against related technology patterns.,1,0.715,27,341,3259530.36,Validate controls,0.779
SIG00000016,2024-02-07,Regulatory Change,SAP,S/4HANA,Regulatory Change,Emerging regulation may increase evidence and resilience requirements.,4,0.418,52,51,2984179.45,Assess replacement option,0.692
SIG00000017,2026-03-10,Quantum Crypto Horizon,SAP,BusinessObjects,Quantum Crypto Horizon,Cryptographic assumptions may require future remediation planning.,4,0.574,3,179,4431483.45,Monitor,0.861
SIG00000018,2024-05-30,Ecosystem Decline,SAP,S/4HANA,Ecosystem Decline,Partner and marketplace depth is declining for this technology stream.,2,0.303,28,82,2885395.02,Assess replacement option,0.84
