outcome_id,system_id,decision_date,decision_taken,expected_5y_cost_eur,actual_5y_cost_proxy_eur,expected_risk_reduction,observed_risk_reduction,cost_variance_pct,outcome_quality,delay_months,vendor_pressure_outcome,lessons_learned
OUT00000001,SYS0011360,2024-05-04,Exit / Decommission,2276.47,2334.23,45,34.6,2.5,Strong,0,Reduced,Vendor claim was partially valid.
OUT00000002,SYS0001967,2025-11-17,Exit / Decommission,788.83,708.78,45,50.6,-10.1,Strong,6,Reduced,Business owner alignment delayed execution.
OUT00000003,SYS0011559,2024-02-16,Exit / Decommission,5112.06,4182.34,45,52.9,-18.2,Good,2,Delayed,Integration complexity was underestimated.
OUT00000004,SYS0000948,2024-04-01,Exit / Decommission,8544.12,9819.36,45,49.6,14.9,Strong,6,Reduced,Dependency blast radius drove final sequencing.
OUT00000005,SYS0009342,2023-12-13,Exit / Decommission,15203.93,15517.22,45,51.7,2.1,Strong,1,Reduced,Dependency blast radius drove final sequencing.
OUT00000006,SYS0007949,2023-04-12,Exit / Decommission,7202.93,8912.31,45,38.2,23.7,Good,0,Negotiated,Integration complexity was underestimated.
OUT00000007,SYS0005178,2026-05-17,Exit / Decommission,3966.79,4132.91,45,54.1,4.2,Strong,0,Reduced,Vendor claim was partially valid.
OUT00000008,SYS0001939,2025-03-22,Exit / Decommission,2867.17,2001.84,45,45.7,-30.2,Strong,5,Negotiated,Vendor claim was partially valid.
OUT00000009,SYS0001004,2022-05-30,Exit / Decommission,6487.2,7651.07,45,48.3,17.9,Good,0,Reduced,Compensating controls reduced upgrade urgency.
OUT00000010,SYS0007637,2023-07-11,Exit / Decommission,144.25,98.7,45,52.9,-31.6,Good,3,Reduced,Business owner alignment delayed execution.
OUT00000011,SYS0006073,2026-05-17,Exit / Decommission,489.85,542.36,45,40.7,10.7,Strong,6,Avoided,Vendor claim was partially valid.
OUT00000012,SYS0011759,2023-10-31,Exit / Decommission,1731.7,1663.85,45,43.0,-3.9,Strong,3,Delayed,Vendor claim was partially valid.
OUT00000013,SYS0004241,2024-11-06,Exit / Decommission,1178.2,1496.62,45,43.4,27.0,Good,6,Reduced,Integration complexity was underestimated.
OUT00000014,SYS0011608,2023-11-10,Exit / Decommission,6752.15,7538.76,45,51.7,11.6,Strong,3,Negotiated,Entitlement evidence improved negotiation position.
OUT00000015,SYS0000102,2025-07-23,Exit / Decommission,9125.03,7767.3,45,38.3,-14.9,Strong,3,Negotiated,Compensating controls reduced upgrade urgency.
OUT00000016,SYS0004338,2023-02-26,Exit / Decommission,1300.29,1206.67,45,33.4,-7.2,Strong,8,Reduced,Integration complexity was underestimated.
OUT00000017,SYS0004116,2026-03-30,Exit / Decommission,1472.87,1347.7,45,36.5,-8.5,Good,4,Accepted,Vendor claim was partially valid.
OUT00000018,SYS0009188,2026-07-02,Exit / Decommission,3319.27,2169.93,45,52.8,-34.6,Good,9,Accepted,Entitlement evidence improved negotiation position.
OUT00000019,SYS0004740,2025-11-20,Exit / Decommission,1340.38,1026.05,45,51.2,-23.5,Good,0,Escalated,Dependency blast radius drove final sequencing.
OUT00000020,SYS0011227,2022-08-07,Exit / Decommission,650.76,468.64,45,44.2,-28.0,Good,0,Negotiated,Entitlement evidence improved negotiation position.
OUT00000021,SYS0002516,2023-01-06,Exit / Decommission,5883.89,5886.21,45,53.3,0.0,Strong,4,Escalated,Business owner alignment delayed execution.
OUT00000022,SYS0001385,2023-09-16,Exit / Decommission,1856.0,1823.76,45,61.5,-1.7,Strong,0,Negotiated,Integration complexity was underestimated.
OUT00000023,SYS0002817,2026-03-25,Exit / Decommission,1201.28,1364.41,45,51.1,13.6,Strong,6,Negotiated,Integration complexity was underestimated.
OUT00000024,SYS0011200,2023-12-12,Exit / Decommission,1247.19,938.09,45,42.0,-24.8,Strong,3,Reduced,Dependency blast radius drove final sequencing.
OUT00000025,SYS0010176,2025-10-09,Exit / Decommission,6598.76,7322.57,45,52.6,11.0,Strong,0,Reduced,Entitlement evidence improved negotiation position.
OUT00000026,SYS0007355,2026-05-16,Exit / Decommission,3897.12,3999.23,45,43.2,2.6,Strong,4,Escalated,Dependency blast radius drove final sequencing.
OUT00000027,SYS0000120,2023-04-30,Exit / Decommission,2249.43,2062.9,45,57.5,-8.3,Strong,6,Escalated,Vendor claim was partially valid.
OUT00000028,SYS0007525,2023-10-27,Exit / Decommission,619.89,450.62,45,42.5,-27.3,Good,6,Delayed,Business owner alignment delayed execution.
OUT00000029,SYS0004456,2023-07-17,Exit / Decommission,1538.38,2327.88,45,70.0,51.3,Strong,1,Delayed,Dependency blast radius drove final sequencing.
OUT00000030,SYS0001065,2026-03-05,Exit / Decommission,3988.42,3810.23,45,29.2,-4.5,Good,0,Reduced,Integration complexity was underestimated.
OUT00000031,SYS0001833,2024-02-18,Exit / Decommission,4443.94,5638.52,45,54.5,26.9,Good,6,Accepted,Vendor claim was partially valid.
OUT00000032,SYS0007200,2023-10-01,Exit / Decommission,880.82,900.85,45,48.1,2.3,Strong,4,Delayed,Entitlement evidence improved negotiation position.
